Query,Document_Retrived_1,Document_Retrived_2,Index_Document_Ground_Truth,Indexes_Document_Retrived,Is_Ground_Truth_In_Top_2,Is_Ground_Truth_In_Top_1
Is alpha-glucan safe for individuals with sensitive skin prone to irritation?,People with Related Allergy should avoid Beta Glucan.,"Beta Glucan is suitable for: Dry and dehydrated skin, Impaired skin barrier, Redness, Radiance, Texture.",1,"[127, 126]",0,0
Can aloe vera exacerbate symptoms for those with plant allergies?,"Aloe Vera is suitable for: Dry and dehydrated skin, Impaired skin barrier, Radiance, Pregnancy, Texture.",The benefits of Aloe Vera are outlined in the product description.,5,"[4, 6]",0,0
Is  allantoin suitable for individuals with acne-prone skin?,Allantoin should be used as recommended by a professional or product instructions.,"Allantoin is suitable for: Fine Lines, Impaired skin barrier, Redness, Pregnancy.",8,"[11, 8]",1,0
Should people with oily skin avoid products containing algin?,People with Related Allergy should avoid Natural Moisturising Factors.,"Algin is suitable for: Dry and dehydrated skin, Fine Lines, Pregnancy, Wrinkles.",13,"[547, 12]",0,0
Is algae extract beneficial for those with rosacea or redness?,"Red Algae is suitable for: Dry and dehydrated skin, Impaired skin barrier, Pregnancy, Texture.",The benefits of Red Algae are outlined in the product description.,16,"[729, 731]",0,0
Are there any risks for individuals allergic to marine products to use algae exopolysaccharides?,People with Related Allergy should avoid Algae Exopolysaccharides.,Algae Exopolysaccharides should be used as recommended by a professional or product instructions.,21,"[21, 23]",1,1
Is Alaria Esculenta Extract helpful for people with acne-prone skin?,"Alaria Esculenta Extract is suitable for: Dry and dehydrated skin, Fine Lines, Pregnancy, Wrinkles.",The benefits of Alaria Esculenta Extract are outlined in the product description.,24,"[24, 26]",1,1
Can alanine cause irritation in individuals with highly sensitive skin?,Alanine should be used as recommended by a professional or product instructions.,People with Related Allergy should avoid Alanine.,29,"[31, 29]",1,0
Are there any contraindications for individuals with a history of marine allergies to use Ahnfeltia Concinna Extract?,People with Related Allergy should avoid Ahnfeltia Concinna Extract.,Ahnfeltia Concinna Extract should be used as recommended by a professional or product instructions.,33,"[33, 35]",1,1
Is adenosine suitable for use in products for oily and acne-prone skin?,"Adenosine is suitable for: Acne, Dry and dehydrated skin, Elasticity, Fine Lines, Impaired skin barrier, Redness, Pregnancy, Wrinkles.",Adenosine should be used as recommended by a professional or product instructions.,36,"[36, 39]",1,1
